"","book","release","chapter","page","chapter_num","page_num","n_code","n_lrn_q","n_lrn_item","lrn_auto","mcq","association","shorttext","clozeassociation","imageclozeassociation","sortlist","formulaV2","choicematrix","plaintext"
"789","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 11 - Model Comparison with F","11.5 Using F to Test a Regression Model",11,5,4,5,3,5,5,0,0,0,0,0,0,0,0
"790","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 11 - Model Comparison with F","11.6 Type I and Type II Error",11,6,0,9,6,9,9,0,0,0,0,0,0,0,0
"791","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 11 - Model Comparison with F","11.7 Using F to Compare Multiple Groups",11,7,2,12,5,11,8,1,2,0,0,0,0,0,1
"792","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 11 - Model Comparison with F","11.8 Pairwise Comparisons",11,8,1,10,6,9,9,0,0,0,0,0,0,0,1
"793","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 12 - Parameter Estimation and Confidence Intervals","12.1 From Hypothesis Testing to Confidence Intervals",12,1,0,12,9,11,11,0,0,0,0,0,0,0,1
"794","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 12 - Parameter Estimation and Confidence Intervals","12.2 Using Bootstrapping to Calculate the 95% Confidence Interval",12,2,4,7,7,5,5,0,0,0,0,0,0,0,2
"795","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 12 - Parameter Estimation and Confidence Intervals","12.3 Shuffle, Resample, and Standard Error",12,3,2,14,6,14,14,0,0,0,0,0,0,0,0
"796","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 12 - Parameter Estimation and Confidence Intervals","12.4 Interpreting the Confidence Interval",12,4,0,14,11,13,13,0,0,0,0,0,0,0,1
"797","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 12 - Parameter Estimation and Confidence Intervals","12.5 Confidence Intervals for Other Parameters",12,5,6,18,12,12,12,0,0,0,0,0,0,0,6
"798","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 12 - Parameter Estimation and Confidence Intervals","12.6 What Affects the Width of the Confidence Interval",12,6,2,8,7,6,6,0,0,0,0,0,0,0,2
"799","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 13 - Introduction to Multivariate Models","13.1 Models with Two Explanatory Variables",13,1,1,2,2,1,1,0,0,0,0,0,0,1,0
"800","College / Advanced Statistics and Data Science (ABCD)","v5.1.1","Chapter 13 - Introduction to Multivariate Models","13.2 Visualizing Price = Home Size + Neighborhood",13,2,2,1,1,1,1,0,0,0,0,0,0,0,0
